food_ID,recipe_title,tags,cuisine,course,diet,category
2930,Vegetarian Pad Thai ,Party Food s|Sprout s|Broccoli s|Tofu s|Weekend Dinner Ideas|Asian Cuisine s,Thai,Main Course,Vegetarian,"Thai s,Malaysian & East Asian s"
2931,Pyaz Ka Paratha  - Spicy Stuffed Onion Paratha,Party Food s|Indian Lunch s|Breakfast  Ideas|Paratha s|Kids Lunch Box s|Weekend Dinner Ideas|Stuffed Paratha s,North Indian s,North Indian Breakfast,Vegetarian,Paratha s
2932,Sweet & Spicy Plum Sauce  ,Side Dish s|Summer  Ideas|Plum s,Continental,Dessert,Vegetarian,Dessert s
2933,Paneer Frankie  - Delicious Kid Friendly Snack,Paneer s|Tea Party s|Healthy Kids Snack s,Indian,Snack,High Protein Vegetarian,Frankie Roll s (Wrap s)
2934,Coriander Semiya  - Vermicelli Pulao,South Indian s|Office Lunch Box s|South Indian Breakfast s|Kids Lunch Box s|Vermicelli s (Semiya/Seviyan)|Coriander s,South Indian s,Dinner,Vegetarian,Upma s
2935,Matar Millet Pulao  - Peas Pulao ,Indian Lunch s|Healthy s|Millet s|Green Peas (Matar/ Pattani) s|Weekend Lunch s,North Indian s,Lunch,Vegetarian,Pulao s
2936,Peach Coulis  For Desserts ,Party Food s|Side Dish s|Peach s,Continental,Dessert,Vegetarian,Dessert s
2937,Thai Green Curry  With Sweet Potato & Green Beans,Party Food s|Vegetarian s|Healthy s|Green Beans s (French /Haricot)|Sweet Potato s|Asian Cuisine s,Thai,Dinner,Vegetarian,"Thai s,Malaysian & East Asian s"
2938,Vegetarian Thai Green Curry With Tofu ,Party Food s|High Protein Diet|Broccoli s|Tofu s,Thai,Lunch,Vegetarian,"Thai s,Malaysian & East Asian s"
2939,Vegetarian Thai Red Curry ,Party Food s|High Protein Vegetarian Diet s|Broccoli s,Thai,Main Course,Vegetarian,"Thai s,Malaysian & East Asian s"
2940,Rajasthani Makki Ka Chatpata Dhokla ,Dhokla s|Rajasthani s,Rajasthani,Snack,Diabetic Friendly,Dhokla s
2941,Cauliflower Thai Red Curry ,Party Food s|Cauliflower s (Phool Gobi)|Asian Cuisine s,Thai,Dinner,Vegetarian,"Thai s,Malaysian & East Asian s"
2942,Thai Style Vegetables & Raw Papaya Rice ,Vegetarian s|Office Lunch Box s|Cabbage s (Patta Gobi)|Asian Cuisine s|Weekend Lunch s|Raw papaya s,Thai,Lunch,Diabetic Friendly,"Thai s,Malaysian & East Asian s"
2943,Thai Flavoured Vegetable Noodles In Coconut Curry ,Broccoli s|One Dish s|Coconut s|Asian Cuisine s|Noodle s,Thai,Main Course,Vegetarian,"Thai s,Malaysian & East Asian s"
2944,Thai Fish Cake ,Party Starter & Appetizer s|Asian Cuisine s|Picnic  Ideas|Indian Potluck & Kitty Party s,Thai,Appetizer,High Protein Non Vegetarian,"Thai s,Malaysian & East Asian s"
2945,Chaas Dahi Vada  - Dahi Vada in Refreshing Buttermilk,Party Food s|Vegetarian s|Navratri s|Festival s|Tea Party s|Chaat Party s|Vada s|Party Starter & Appetizer s|Holi s|Ayurvedic s,North Indian s,Snack,Vegetarian,Indian Snack s
2946,Bell Pepper Sabji -No Onion No Garlic ,Side Dish s|Office Lunch Box s|Capsicum s (Bell Pepper)|Bell Peppers s,Maharashtrian s,Lunch,Vegetarian,Sabzi s
2950,Zucchini Roll Up Lasagne ,Party Food s|Tomato s|Lasagna s|Zucchini s|Cheese s,Continental,Dinner,Vegetarian,Continental Food s
2951,Vegetarian Spicy Bean Chili-Stuffed Sweet Potatoes,Vegetarian s|Healthy s|Party Starter & Appetizer s|Sweet Potato s|Rajma Kidney Bean s,Continental,Appetizer,Vegetarian,Continental Party Appetizer & Starter s
2953,Cucumber Neer Dosa -Rice Pancake ,South Indian s|Breakfast  Ideas|South Indian Breakfast s|Pancake s|Cucumber s|Mangalorean s|Indian Breakfast s,Mangalorean,South Indian Breakfast,Vegetarian,Dosa s
2955,Thai Pumpkin Soup With Red Curry Paste ,Pumpkin s (Kaddu / Poosanikai)|Weekend Dinner Ideas|Asian Cuisine s|Winter s,Thai,Appetizer,Vegetarian,"Thai s,Malaysian & East Asian s"
2956,Baingan Tamatar Sabzi - Brinjal/ Eggplant Masala ,Party Food s|Brinjal s (Eggplant / Baingan),Indian,Side Dish,Vegetarian,Sabzi s
2958,Malaysian Nasi Lemak Rice  ,Quick & Easy s|Ginger s|Coconut Milk s|Malaysian Cuisine s,Malaysian,Main Course,Vegetarian,"Thai s,Malaysian & East Asian s"
2960,Roasted Vegetable Burger  With Hummus,Hummus s|Zucchini s|Burger s|Roasted recipes,Continental,Main Course,High Protein Vegetarian,Burger s
2961,Traditional Gujarati Mohanthal  - Gram Flour Fudge with Nuts and Saffron,Gujarati s|Diwali s|Festival s|Burfi s|Gram Flour s,Gujarati s﻿,Dessert,Vegetarian,Sweet s (Indian Mithai / Indian Dessert)
2962,Cantonese Style Dimsums -Sweet Corn & Tofu Steamed Dumpling ,Side Dish s|Party Starter & Appetizer s|Tofu s|Sweet Corn s|Dumpling s (Momo s)|Dim Sum s,Cantonese,Appetizer,Vegetarian,Indian Chinese s
2963,Sweet Potato Tacos With Black Beans And Avocado Cream ,Vegetarian s|Mexican s|Avocado s|Black Eyed Bean s|Taco s,Mexican,Dinner,Vegetarian,Mexican s
2964,Mexican Cornbread ,Side Dish s|Cornmeal s|Bread s,Mexican,Snack,Vegetarian,Homemade Bread s
2965,15 Minutes Mexican Fried Rice ,Party Food s|Office Lunch Box s|Kids Lunch Box s|Leftover recipes,Mexican,Dinner,Vegetarian,Mexican s
2967,Three Bean Salad ,Side Dish s|Healthy s|Kabuli Chana s (Chickpea),Mexican,Dinner,High Protein Vegetarian,Salad s
2968,Mexican Fiesta Soup With Roasted Tomatillo Pesto ,Party Food s|Side Dish s|Party Starter & Appetizer s|Sweet Corn s|Winter s|Monsoon & Rainy Day s,Mexican,Dinner,Vegetarian,Soup s
2969,Hearty Vegetable Tortilla Soup ,High Protein Vegetarian Diet s|One Dish s|Sweet Corn s|Avocado s|Zucchini s|One Pot s,Mexican,Side Dish,High Protein Vegetarian,Soup s
2970,Spinach Khandvi  - Savory Gram Flour Pinwheels With Spinach,Spinach s (Palak/Keerai)|Gujarati s|Healthy s|Party Starter & Appetizer s|Dahi s (Curd/Yogurt),Gujarati s﻿,Lunch,Vegetarian,Indian Snack s
2971,Veggie Chop Burger ,Party Food s|Vegetarian s|Healthy s|Aloo s (Potato & Baby Potato s)|Sweet Corn s|Burger s,Continental,Dinner,Vegetarian,Burger s
2972,Mexican Chicken Burger  With Sour Cream & Salsa ,Party Food s|Mexican s|Picnic  Ideas,Mexican,Main Course,Non Vegeterian,Burger s
2973,Chicken Rendang  - Malaysian-Indonesian Chicken Stew ,Party Food s|Weekend Dinner Ideas|Indonesian Cuisine s|Malaysian Cuisine s,Malaysian,Main Course,High Protein Non Vegetarian,"Thai s,Malaysian & East Asian s"
2974,Milagu Jeera Curry Leaf Sadam ,South Indian s|Indian Lunch s|Healthy s|Navratri s|Festival s|Curry Leaf s,South Indian s,Lunch,Vegetarian,Variety Rice (Mixed Rice/ Flavoured Rice s)
2975,Soft Taco With Mushroom and Roasted Bell pepper Sauce ,Vegetarian s|Capsicum s (Bell Pepper)|Party Starter & Appetizer s|Mushroom s|Taco s|Bell Peppers s,Mexican,Appetizer,Vegetarian,Mexican s
2976,Vegetarian Chickpea Burger ,Aloo s (Potato & Baby Potato s)|Kabuli Chana s (Chickpea)|High Protein Diet|Weekend Dinner Ideas|Burger s|After School Snack s,Continental,Main Course,Vegetarian,Burger s
2977,Oil Free Gujarati Undhiyu  - No Onion No Garlic,Indian Lunch s|Healthy s|Cabbage s (Patta Gobi)|Methi s (Fenugreek)|Brinjal s (Eggplant / Baingan)|Raw Banana s|Avarakkai s (Broad Bean),Gujarati s﻿,Side Dish,No Onion No Garlic (Sattvic),Sabzi s
2978,Spicy Chickpea Tacos  With Indian Twist,Tea Party s|Party Starter & Appetizer s|Kabuli Chana s (Chickpea)|Mexican s|Taco s|Fusion s,Mexican,Appetizer,Gluten Free,Mexican s
2979,Vegan Burger  With Beans And Tofu Patty,Vegetarian s|Aloo s (Potato & Baby Potato s)|Tikki s (Cutlet/Patty)|Green Beans s (French /Haricot)|Tofu s|Burger s|Kala Chana s (Black Chickpeas),Continental,Lunch,Vegan,Burger s
2980,Five Spice Bean Burger ,Party Food s|Healthy s|Green Beans s (French /Haricot)|Burger s|Fusion s,Continental,Dinner,Vegetarian,Burger s
2981,Spicy Mushroom Veggie Burger ,Party Food s|Vegetarian s|Healthy s|Tea Party s|Mushroom s|Healthy Kids Snack s|Burger s|After School Snack s,Continental,Main Course,Vegetarian,Burger s
2982,Veggie Burger  With Spinach Cauliflower And Oats Patty ,Party Food s|Healthy s|Cauliflower s (Phool Gobi)|Tea Party s|Kabuli Chana s (Chickpea)|Tikki s (Cutlet/Patty)|Oats s (Oatmeal)|Burger s,Continental,Brunch,Vegetarian,Burger s
2983,Veg Chili Cheese Burgers ,Vegetarian s|Aloo s (Potato & Baby Potato s)|Burger s|Cheese s|Continental s,Continental,Main Course,Vegetarian,Burger s
2984,Chicken Keema Paratha  - Minced Chicken Flat Bread,North Indian Breakfast s|Stuffed Paratha s|Indian Breakfast s,Mughlai,Lunch,High Protein Non Vegetarian,Paratha s
2985,Muri Masala  Kolkata Style Used in Jhal Muri,Tea Party s,Bengali s,Snack,Vegetarian,Indian Homemade Masala Powder & Chutney Powder s
2988,Masala French Toast ,Breakfast  Ideas|Tea Party s|Toast s|Fusion s|Indian Breakfast s,Fusion,World Breakfast,Eggetarian,Toast s
2989,Crunchy Carrots In Hot Dogs Buns ,Vegetarian s|Carrot s|Kids Lunch Box s|Weekend Dinner Ideas|Burger s|After School Snack s,Continental,Lunch,Vegetarian,Burger s
2990,Mexican Vegetarian Fajitas ,Vegetarian s|Capsicum s (Bell Pepper)|Salsa s|Tortilla |Bell Peppers s,Mexican,Main Course,Vegetarian,Mexican s
2991,Avocado Cheese Chilli Toast ,Tea Party s|Avocado s|Cheese s|After School Snack s|Toast s,Continental,Snack,Vegetarian,Toast s
2992,Apple Cinnamon French Toast ,Apple s|Cinnamon s|After School Snack s,French,World Breakfast,Eggetarian,Toast s
2995,Dahi Vada  - Lentil Dumplings in a Sweet and Spicy Yogurt,Party Food s|Vegetarian s|Navratri s|Festival s|Tea Party s|Chaat Party s|Vada s|Party Starter & Appetizer s|Holi s|Ayurvedic s,North Indian s,Snack,Vegetarian,Indian Snack s
2996,Rajasthani Gunde Ki Sabzi  (Bird Lime Stir Fry),Office Lunch Box s|Festival s|Indian Diabetic s|Rajasthani s,Rajasthani,Side Dish,Vegetarian,Sabzi s
2997,Spinach & Broad Bean Shakshuka ,Spinach s (Palak/Keerai)|Broccoli s,European,Lunch,Eggetarian,Continental Food s
2998,Rabodi Simla Mirch Ki Sabzi (Rajasthani Curry with Corn Papad),Rajasthani s|Chilli s,Rajasthani,Lunch,Vegetarian,Sabzi s
2999,Chemmeen Muringakka Curry  -Prawn Drumstick Curry,Party Food s|Indian Lunch s|Coconut s|Prawn s|Moringa Leaves s (Drumstick Leaves)|Sea Food s,Kerala s,Lunch,Non Vegeterian,Fish s
3000,Nei Appam  Using Rice Flour,Breakfast  Ideas|Tea Party s,Kerala s,Snack,Vegetarian,Indian Snack s
3001,Arbi Ke Kebab  (Spicy Colocasia Kebab) ,Party Starter & Appetizer s|Cabbage s (Patta Gobi)|Healthy Kids Snack s|Kebab s|Awadhi s|Arbi Colocasia s,Awadhi,Appetizer,Vegetarian,Indian Snack s
